dataset,model,condition,n_seeds,seed_list,mean_pearson_across_seeds,std_pearson_across_seeds,mean_median_pearson,mean_within_seed_std,mean_n_subjects,mean_n_recordings,mean_negative_recording_count
etard_tf64,adt,clean,3,"0,42,2026",0.10959818886889246,0.009064020848186659,0.10343393432082308,0.12463781221102278,18.0,72.0,11.333333333333334
etard_tf64,adt,fM,3,"0,42,2026",0.15080247680197548,0.004951293080374685,0.14584587688359077,0.11937985330088115,18.0,72.0,6.666666666666667
etard_tf64,adt,fW,3,"0,42,2026",0.0984739538585986,0.005165487260132017,0.10166388649838114,0.1082842967875023,18.0,72.0,13.666666666666666
etard_tf64,adt,hb,3,"0,42,2026",0.14967710004164902,0.00673701850854446,0.14890883799416135,0.10347168279804221,18.0,72.0,5.666666666666667
etard_tf64,adt,lb,3,"0,42,2026",0.11386122192532043,0.004351026573080872,0.10770263967058624,0.08190995115515574,18.0,72.0,5.0
etard_tf64,adt,mb,3,"0,42,2026",0.11617278964265265,0.004012667689728622,0.115455674969411,0.10879586758869302,18.0,72.0,10.0
etard_tf64,cca,clean,3,"0,42,2026",0.11255025128908991,5.930686927659007e-08,0.09991974025170654,0.10774581774394566,18.0,72.0,11.0
etard_tf64,cca,fM,3,"0,42,2026",0.11691468559966277,1.0520713389307518e-08,0.12160704009826234,0.12562604010553916,18.0,72.0,13.0
etard_tf64,cca,fW,3,"0,42,2026",0.1072277104043259,4.758214444607968e-08,0.1126643539952551,0.09602680109541865,18.0,72.0,11.0
etard_tf64,cca,hb,3,"0,42,2026",0.0894750950437835,9.758782937777329e-09,0.08454038115163377,0.09905746247279394,18.0,72.0,12.0
etard_tf64,cca,lb,3,"0,42,2026",0.07840331691172152,2.596892503324205e-09,0.08911179099709288,0.07340819381502356,18.0,72.0,11.0
etard_tf64,cca,mb,3,"0,42,2026",0.05801847812024436,1.495902133844942e-08,0.056649936723610246,0.10134082881365876,18.0,72.0,23.0
etard_tf64,cnn,clean,3,"0,42,2026",0.1383166589702244,0.006208732467628868,0.14065146504359563,0.11305331910524861,18.0,72.0,7.333333333333333
etard_tf64,cnn,fM,3,"0,42,2026",0.16242357963617168,0.006726305482658587,0.16209396418102628,0.11600770693148786,18.0,72.0,7.0
etard_tf64,cnn,fW,3,"0,42,2026",0.12034132820932375,0.002164569451413467,0.12183804886932238,0.08783351518143505,18.0,72.0,5.0
etard_tf64,cnn,hb,3,"0,42,2026",0.11411543238545892,0.0006432644895103185,0.11581624939221295,0.09831637529926185,18.0,72.0,9.666666666666666
etard_tf64,cnn,lb,3,"0,42,2026",0.10194739641968799,0.002706340750917643,0.08975113077324744,0.08224053076638739,18.0,72.0,6.666666666666667
etard_tf64,cnn,mb,3,"0,42,2026",0.08236804112317973,0.0042481852414055716,0.08742540139442061,0.08955870881321375,18.0,72.0,15.0
etard_tf64,dnn,clean,3,"0,42,2026",0.10754052784416886,0.005247842934500947,0.11147488088389235,0.09909591288292262,18.0,72.0,10.333333333333334
etard_tf64,dnn,fM,3,"0,42,2026",0.10428858582493372,0.0009027253428805989,0.10391359389626309,0.09768074725766762,18.0,72.0,10.333333333333334
etard_tf64,dnn,fW,3,"0,42,2026",0.07770991988627834,0.0021082649997489536,0.07591352285986663,0.08407320380513632,18.0,72.0,12.333333333333334
etard_tf64,dnn,hb,3,"0,42,2026",0.063083570234561,0.004350935188969215,0.061926130874870096,0.08924194701493023,18.0,72.0,15.666666666666666
etard_tf64,dnn,lb,3,"0,42,2026",0.06241211336672422,0.002944741499390046,0.0597691091278123,0.07967620398697135,18.0,72.0,16.333333333333332
etard_tf64,dnn,mb,3,"0,42,2026",0.04314717237585513,0.0005781621121198498,0.04962173251663243,0.07864336855067167,18.0,72.0,23.666666666666668
etard_tf64,eegnet,clean,3,"0,42,2026",0.15712136002552812,0.004438276971268446,0.16603767497136596,0.10727935092855395,18.0,72.0,5.666666666666667
etard_tf64,eegnet,fM,3,"0,42,2026",0.1775146168191053,0.00562213428352015,0.18047769992376952,0.11924257635822964,18.0,72.0,6.666666666666667
etard_tf64,eegnet,fW,3,"0,42,2026",0.13645750709197257,0.0021898449983145762,0.13433981815889814,0.09174382767532303,18.0,72.0,6.0
etard_tf64,eegnet,hb,3,"0,42,2026",0.13588776011896542,0.0034352337067303017,0.13159247783903097,0.09587909233128704,18.0,72.0,4.333333333333333
etard_tf64,eegnet,lb,3,"0,42,2026",0.11904492605084016,0.0024979287933334744,0.11932836828899973,0.07873613425639468,18.0,72.0,5.0
etard_tf64,eegnet,mb,3,"0,42,2026",0.08414168060746811,0.001968155498657802,0.07367526672533549,0.09018781926486569,18.0,72.0,14.666666666666666
etard_tf64,fcnn,clean,3,"0,42,2026",0.10762694810665019,0.005794452356736185,0.11132176152327589,0.10059776438101938,18.0,72.0,10.666666666666666
etard_tf64,fcnn,fM,3,"0,42,2026",0.10455417955736106,0.0014225693481026492,0.10532758934603641,0.09767279537708289,18.0,72.0,10.0
etard_tf64,fcnn,fW,3,"0,42,2026",0.0755195369808626,0.0027537004268375818,0.08044889655886223,0.08699136706410311,18.0,72.0,14.333333333333334
etard_tf64,fcnn,hb,3,"0,42,2026",0.06200523643431045,0.004627236603636746,0.0604092033762774,0.08918740593965964,18.0,72.0,16.0
etard_tf64,fcnn,lb,3,"0,42,2026",0.06255995173760591,0.002670801863826336,0.058813081236969905,0.07974126168870153,18.0,72.0,16.0
etard_tf64,fcnn,mb,3,"0,42,2026",0.04448314066406902,0.003122800946003108,0.0474659307855435,0.0798548293992367,18.0,72.0,23.333333333333332
etard_tf64,ridge,clean,3,"0,42,2026",0.17122300553120628,1.0012829773611053e-05,0.17668402265250424,0.10673174345590215,18.0,72.0,4.0
etard_tf64,ridge,fM,3,"0,42,2026",0.16001940516244417,7.83750129580975e-06,0.1555320935206438,0.11476511307107136,18.0,72.0,6.0
etard_tf64,ridge,fW,3,"0,42,2026",0.1365977935650786,6.098516332091535e-06,0.1431099659042545,0.08002864137756371,18.0,72.0,3.0
etard_tf64,ridge,hb,3,"0,42,2026",0.12075050987483381,4.208079186241136e-06,0.11465143996327705,0.08351649776605113,18.0,72.0,4.0
etard_tf64,ridge,lb,3,"0,42,2026",0.11704314426309387,6.248281167521903e-07,0.11464603075102404,0.06911229329696404,18.0,72.0,2.0
etard_tf64,ridge,mb,3,"0,42,2026",0.08324596152197795,1.1359598085263282e-06,0.08030922855721424,0.08403249077731194,18.0,72.0,12.0
